observation_id,asset_id,metric_id,source_id,observed_at,ingested_at,value,confidence,raw_ref
OBS_J01,AST_J01,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,1240.5,0.87,s3://dexdogs-raw/AST_J01/2026-06-15.parquet
OBS_J02,AST_J02,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,860.2,0.87,s3://dexdogs-raw/AST_J02/2026-06-15.parquet
OBS_J03,AST_J03,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,3105.8,0.87,s3://dexdogs-raw/AST_J03/2026-06-15.parquet
OBS_J04,AST_J04,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,412.0,0.87,s3://dexdogs-raw/AST_J04/2026-06-15.parquet
OBS_J05,AST_J05,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,298.4,0.87,s3://dexdogs-raw/AST_J05/2026-06-15.parquet
OBS_J06,AST_J06,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,2740.1,0.87,s3://dexdogs-raw/AST_J06/2026-06-15.parquet
OBS_J07,AST_J07,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,1890.7,0.87,s3://dexdogs-raw/AST_J07/2026-06-15.parquet
OBS_J08,AST_J08,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,120.9,0.87,s3://dexdogs-raw/AST_J08/2026-06-15.parquet
OBS_J09,AST_J09,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,4210.3,0.87,s3://dexdogs-raw/AST_J09/2026-06-15.parquet
OBS_J10,AST_J10,co2e_tonnes,SRC_SATELLITE,2026-06-15T00:00:00Z,2026-06-17T00:00:00Z,2015.6,0.87,s3://dexdogs-raw/AST_J10/2026-06-15.parquet
